source_id,ra,dec,parallax,parallax_error,pmra,pmdec,visibility_periods_used,radial_velocity,radial_velocity_error,astrometric_chi2_al,ipd_gof_harmonic_amplitude,bp_rp,phot_bp_rp_excess_factor,ruwe,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_n_good_obs_al,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,obj_func,goodness_of_fit,efficiency,significance,binary,p1_a0_mas,mass_function_msun,p1_omega_deg,p1_OMEGA_deg,p1_incl_deg,absolute_phot_g_mean_mag
1052042828882790016,154.41022515674914,62.52254715893009,12.796619547272226,0.029374074,19.603592003952187,11.273316657181734,30,16.323349,2.2980895,2344.3057,0.004788277,2.455,1.4074346,2.1495514,14.016,12.884776,15.339776,0.2695665,51.409786,True,547,Orbital,408.36086022544987,3.339,13.689119870258082,24.659317,0.16653496941554272,0.064227775,754.47955,5.690999,0.0,28.038193,1,0.4564430303207689,3.630497937815947e-05,1.8029574496522618,0.41908467640110525,1.1531784834377952,38.30973575174385
1181993180456516864,224.182958564777,13.148790877270114,17.891236357084374,0.067399904,-19.453171160515172,-93.68253014578123,14,-8.912998,0.56962955,3030.4316,0.005931563,0.7575178,1.1976178,2.5752811,7.9719906,7.5090656,8.266583,0.4679019,125.36254,True,211,SB1,271.4021890197814,4.1086755,-36.74078983541645,18.33172,0.11994586767063933,0.061061103,5.927706,-0.12443071,0.40063125,22.858826,0,0.06288610283667688,7.86496405626113e-08,0.7652613626865973,0.6280533265386344,1.151216245326053,34.531992568484924
1224551770875466496,236.28059362431893,28.4700962279045,20.494881156406723,0.036665726,-87.87957018229015,37.97836223961473,30,-20.379013,0.20618698,5298.1196,0.012287751,0.7614846,1.199156,1.9712709,7.91749,7.451342,8.212827,0.35591906,119.259865,True,619,AstroSpectroSB1,147.78696521389955,0.12257061,-2.882824603916839,0.9786481,0.5309635215049696,0.02014745,712.2879,-0.52871543,0.39292723,37.971012,1,0.9947732616453225,0.0006984644143981926,1.859892250508102,0.8463801407787159,0.619031380728088,34.519195415576824
1298992006611690112,248.10178828907485,23.613421054453244,13.536559468871395,0.022014266,-35.87361861689813,-216.0118089913395,27,-3.412879,4.4022837,2022.9137,0.029675359,2.5268831,1.4217763,1.7182091,13.622747,12.469875,14.996758,0.16880792,28.765005,True,744,Orbital,447.3549183822827,4.549683,130.56273249664025,20.784237,0.24856476345097586,0.086276226,1235.1016,10.409292,0.0,18.675043,1,0.3093336744004535,7.954863477316587e-06,1.857315737713102,0.3137243048137268,0.7438606057490836,38.180837851910894
1457486023639239296,209.50636393881885,31.69549225030587,13.544777594132514,0.020826058,-75.41156018470285,18.063289853070557,22,-18.14354,0.41543177,1793.643,0.00735556,1.697197,1.2923081,1.5032967,11.908777,11.025452,12.722649,0.15627776,34.476353,True,467,Orbital,564.0242807973492,11.195968,-0.4040070499453895,20.397583,0.5075808455347155,0.19625777,1370.8899,17.500841,0.0,7.9076214,0,0.3128468035961588,5.1673083698914164e-06,1.6741708336233192,1.211162679020563,2.0147135860420358,36.48788223425857
1462767459023424512,198.8326134572686,29.987992355985146,13.890271623728253,0.04097206,20.22348582935752,-50.33600418228321,19,0.0,1.1180166,1097.0188,0.020818008,2.9771595,1.4883778,1.4377383,15.146554,13.889603,16.866762,0.23674354,14.7647505,True,507,Orbital,781.0819020064879,33.096397,309.1389840507564,44.86723,0.558981569713888,0.22062802,900.4836,8.304879,0.27364162,5.7166677,0,0.3241408021610313,2.7787929686456304e-06,0.8953662237549306,2.392827505302649,2.3644631524272954,39.801232784968946
1594127865540229888,224.22760887352854,53.3809225662555,14.175550114221503,0.019055028,-14.122285955868662,-280.3304748938607,27,-37.79661,0.12738939,816.36725,0.007316383,0.81863165,1.2033861,1.0862737,8.290873,7.7949443,8.613576,0.14644627,17.420856,True,322,OrbitalTargetedSearchValidated,893.1590131337392,251.41333,-256.5683523054828,444.84546,0.3109651016174375,0.29506254,424.6202,-1.5087502,0.0,3.808545,0,0.15711488595139844,2.276958511208967e-07,2.5076304680348707,2.8754031094544135,2.134267829570983,33.06925890359068
1610837178107032192,219.08814750346022,57.56096058346572,13.560874706893744,0.021635994,-82.12463988827217,67.25862743488946,29,-5.798384,0.14709054,1568.1545,0.03514199,0.6899209,1.1943426,1.3203703,8.200266,7.7720437,8.461965,0.214271,33.107605,True,406,OrbitalTargetedSearch,1089.1526376689824,308.90735,-176.39490657263298,294.5339,0.3930494343714672,0.18595059,444.6535,-2.9135287,0.0,7.085385,0,0.3123170221880097,1.3738104306294713e-06,0.5354889783008279,0.4404917920497456,0.3798086372206243,32.72654913391336
1638180413086979840,269.3142709072523,70.70178301936559,52.25092490849375,0.21902019,6.871021789281394,326.688725160739,24,0.0,1.1180166,18233.852,0.018735414,4.7812147,1.7201992,4.315501,15.650289,14.144515,18.92573,2.46874,732.1862,False,302,Orbital,479.9890102079157,1.2926918,196.16698624418615,2.5049827,0.5954590074867835,0.052296683,442.3491,3.8688748,0.0,18.145054,0,7.048343440064537,0.0014213370817211081,2.112880327740378,2.4116230078612326,1.1482062777629594,46.93090237838881
1712614124767394816,203.16332673930077,75.0071106350803,28.249343731472365,0.011704006,-440.5577379228295,49.538510289490155,25,-30.726942,0.14651532,613.7561,0.015164264,1.5468168,1.2678447,1.0198512,9.748717,8.928093,10.47491,0.08341608,8.415716,True,334,OrbitalTargetedSearchValidated,297.63980710552124,2.6865907,55.17600069297677,31.368795,0.4575131308981575,0.16824925,361.30154,0.2601262,0.29539323,6.488816,0,0.21263839497145787,6.422415333641192e-07,1.4505486206126548,0.7147987734221968,1.5761821455660607,37.96020153921978
